V(Au),sV(Au),V(3C),sV(3C)
6.689230114999999444e+01,6.706051200000000267e-02,8.206910000000000593e+01,1.779999999999999985e-02
6.688669221000000675e+01,6.662175700000000367e-02,8.206109999999999616e+01,2.089999999999999844e-02
6.687733088999999609e+01,6.602912499999999407e-02,8.203329999999999700e+01,1.969999999999999876e-02
6.685752136000000689e+01,6.451391300000000606e-02,8.202320000000000277e+01,1.720000000000000001e-02
6.670059143000000290e+01,6.348470300000000344e-02,8.191910000000000025e+01,1.899999999999999953e-02
6.636668480999999531e+01,6.214187999999999656e-02,8.160150000000000148e+01,2.199999999999999872e-02
6.574821486000000448e+01,6.133083100000000232e-02,8.107540000000000191e+01,1.810000000000000150e-02
6.542072847000000024e+01,6.020296599999999665e-02,8.067289999999999850e+01,2.089999999999999844e-02
6.501673879999999883e+01,5.950564700000000179e-02,8.041349999999999909e+01,2.060000000000000026e-02
6.470073085999999307e+01,5.882067700000000177e-02,8.006270000000000664e+01,2.160000000000000114e-02
6.456343726000000061e+01,5.849304100000000256e-02,7.993120000000000402e+01,2.139999999999999888e-02
6.449163883999999314e+01,5.789403399999999700e-02,7.984149999999999636e+01,2.009999999999999981e-02
6.430103185000000110e+01,5.750819199999999964e-02,7.959770000000000323e+01,2.000000000000000042e-02
6.367815448999999717e+01,5.712553100000000023e-02,7.884390000000000498e+01,1.980000000000000163e-02
6.333557129999999802e+01,5.669577600000000328e-02,7.840430000000000632e+01,1.969999999999999876e-02
6.300186774000000156e+01,5.633999299999999794e-02,7.790149999999999864e+01,2.060000000000000026e-02
6.285651797999999957e+01,5.592027499999999846e-02,7.771580000000000155e+01,2.050000000000000086e-02
6.509826592999999662e+01,6.706051200000000267e-02,8.029229999999999734e+01,1.720000000000000001e-02
6.452294632999999635e+01,6.662175700000000367e-02,7.974240000000000350e+01,1.899999999999999953e-02
6.257828751000000267e+01,6.214187999999999656e-02,7.738200000000000500e+01,2.060000000000000026e-02
6.239891424999999714e+01,6.133083100000000232e-02,7.738160000000000593e+01,2.160000000000000114e-02
6.229649535000000071e+01,6.020296599999999665e-02,7.728270000000000550e+01,2.139999999999999888e-02
6.204436258999999865e+01,5.950564700000000179e-02,7.709250000000000114e+01,2.009999999999999981e-02
6.198524777000000086e+01,5.882067700000000177e-02,7.700600000000000023e+01,2.000000000000000042e-02
6.186731982999999957e+01,5.849304100000000256e-02,7.692059999999999320e+01,1.980000000000000163e-02
6.204989985000000274e+01,6.706051200000000267e-02,7.711060000000000514e+01,2.199999999999999872e-02
6.698087221999999485e+01,5.669577600000000328e-02,8.208079999999999643e+01,5.170000000000000290e-02
6.688432756000000268e+01,5.633999299999999794e-02,8.198709999999999809e+01,5.160000000000000003e-02
6.426072118000000444e+01,5.592027499999999846e-02,7.929340000000000543e+01,4.080000000000000293e-02
6.324731151000000295e+01,5.550179499999999960e-02,7.821040000000000703e+01,4.850000000000000144e-02
6.247431126000000035e+01,6.706051200000000267e-02,7.734579999999999700e+01,5.190000000000000169e-02
6.158074904000000060e+01,6.662175700000000367e-02,7.625289999999999679e+01,5.090000000000000080e-02
6.068224962000000033e+01,6.602912499999999407e-02,7.531910000000000593e+01,6.079999999999999988e-02
6.005143844999999914e+01,6.451391300000000606e-02,7.469540000000000646e+01,4.560000000000000164e-02
5.809246372999999863e+01,6.020296599999999665e-02,7.211889999999999645e+01,4.619999999999999801e-02
5.791991236999999870e+01,5.950564700000000179e-02,7.187619999999999720e+01,3.579999999999999849e-02
5.752911366000000015e+01,5.882067700000000177e-02,7.145369999999999777e+01,4.560000000000000164e-02
5.728448404000000238e+01,5.849304100000000256e-02,7.103069999999999595e+01,4.259999999999999898e-02
5.665159461999999735e+01,6.662175700000000367e-02,7.019769999999999754e+01,4.560000000000000164e-02
6.119616501000000142e+01,6.662175700000000367e-02,7.606570000000000675e+01,4.680000000000000132e-02
5.589835733999999690e+01,6.662175700000000367e-02,6.883750000000000568e+01,3.379999999999999671e-02
6.444428068000000565e+01,6.348470300000000344e-02,7.951569999999999538e+01,4.309999999999999942e-02
6.238031070000000256e+01,5.882067700000000177e-02,7.738339999999999463e+01,4.150000000000000216e-02
5.557568455999999912e+01,5.031102400000000280e-02,6.842130000000000223e+01,3.540000000000000091e-02
